Source,Target,Weight,Airport Code_Source,Airport Code_Target,Airport Name_Source,Airport Name_Target,US/INT_Source,US/Int_Target
239,1376,498,BUF,ROC,Buffalo Niagara International Airport,Greater Rochester International Airport,True,True
239,1391,18054,BUF,RSW,Buffalo Niagara International Airport,Southwest Florida International Airport,True,True
239,1403,2095,BUF,SAN,Buffalo Niagara International Airport,San Diego International Airport,True,True
239,1405,349,BUF,SAT,Buffalo Niagara International Airport,San Antonio International Airport,True,True
239,1406,90,BUF,SAV,Buffalo Niagara International Airport,Savannah Hilton Head International Airport,True,True
239,1411,85,BUF,SBN,Buffalo Niagara International Airport,South Bend Regional Airport,True,True
239,1426,25,BUF,SDF,Buffalo Niagara International Airport,Louisville International Standiford Field,True,True
239,1433,959,BUF,SEA,Buffalo Niagara International Airport,Seattle Tacoma International Airport,True,True
239,1437,298,BUF,SFO,Buffalo Niagara International Airport,San Francisco International Airport,True,True
239,1456,100,BUF,SJC,Buffalo Niagara International Airport,Norman Y. Mineta San Jose International Airport,True,True
239,1460,24,BUF,SJO,Buffalo Niagara International Airport,Juan Santamaria International Airport,True,False
239,1470,54,BUF,SLC,Buffalo Niagara International Airport,Salt Lake City International Airport,True,True
239,1480,99,BUF,SMF,Buffalo Niagara International Airport,Sacramento International Airport,True,True
239,1485,1,BUF,SNA,Buffalo Niagara International Airport,John Wayne Airport-Orange County Airport,True,True
239,1504,235,BUF,SRQ,Buffalo Niagara International Airport,Sarasota Bradenton International Airport,True,True
239,1517,1522,BUF,STL,Buffalo Niagara International Airport,St Louis Lambert International Airport,True,True
239,1543,7,BUF,SXM,Buffalo Niagara International Airport,Princess Juliana International Airport,True,False
239,1596,105,BUF,TLH,Buffalo Niagara International Airport,Tallahassee Regional Airport,True,True
239,1613,66285,BUF,TPA,Buffalo Niagara International Airport,Tampa International Airport,True,True
239,1628,21,BUF,TUL,Buffalo Niagara International Airport,Tulsa International Airport,True,True
239,1645,38,BUF,TYS,Buffalo Niagara International Airport,McGhee Tyson Airport,True,True
239,1664,585,BUF,UTM,Buffalo Niagara International Airport,Tunica Municipal Airport,True,True
239,1700,22,BUF,VPS,Buffalo Niagara International Airport,Destin-Ft Walton Beach Airport,True,True
239,1782,137,BUF,YHU,Buffalo Niagara International Airport,Montréal / Saint-Hubert Airport,True,False
239,1785,1,BUF,YIP,Buffalo Niagara International Airport,Willow Run Airport,True,True
239,1799,262,BUF,YOW,Buffalo Niagara International Airport,Ottawa Macdonald-Cartier International Airport,True,False
239,1820,202,BUF,YUL,Buffalo Niagara International Airport,Montreal / Pierre Elliott Trudeau International Airport,True,False
239,1822,43,BUF,YVR,Buffalo Niagara International Airport,Vancouver International Airport,True,False
239,1831,80,BUF,YYC,Buffalo Niagara International Airport,Calgary International Airport,True,False
239,1837,28,BUF,YYZ,Buffalo Niagara International Airport,Lester B. Pearson International Airport,True,False
240,32,5477,BUR,ABQ,Bob Hope Airport,Albuquerque International Sunport,True,True
240,36,1,BUR,ACA,Bob Hope Airport,General Juan N Alvarez International Airport,True,False
240,60,2,BUR,AGS,Bob Hope Airport,Augusta Regional At Bush Field,True,True
240,75,550,BUR,ALB,Bob Hope Airport,Albany International Airport,True,True
240,82,318,BUR,AMA,Bob Hope Airport,Rick Husband Amarillo International Airport,True,True
240,98,4,BUR,APA,Bob Hope Airport,Centennial Airport,True,True
240,99,22,BUR,APC,Bob Hope Airport,Napa County Airport,True,True
240,108,22,BUR,ASE,Bob Hope Airport,Aspen-Pitkin Co/Sardy Field,True,True
240,123,754,BUR,AUS,Bob Hope Airport,Austin Bergstrom International Airport,True,True
240,131,12,BUR,AZ3,Bob Hope Airport,Unkown,True,Unknown
240,134,1,BUR,AZO,Bob Hope Airport,Kalamazoo Battle Creek International Airport,True,True
240,143,19,BUR,BCT,Bob Hope Airport,Boca Raton Airport,True,True
240,145,106,BUR,BDL,Bob Hope Airport,Bradley International Airport,True,True
240,156,66,BUR,BFI,Bob Hope Airport,Boeing Field King County International Airport,True,True
240,169,70,BUR,BHM,Bob Hope Airport,Birmingham-Shuttlesworth International Airport,True,True
240,176,109,BUR,BIL,Bob Hope Airport,Billings Logan International Airport,True,True
240,181,4,BUR,BJC,Bob Hope Airport,Rocky Mountain Metropolitan Airport,True,True
240,196,186,BUR,BLI,Bob Hope Airport,Bellingham International Airport,True,True
240,206,1572,BUR,BNA,Bob Hope Airport,Nashville International Airport,True,True
240,211,1514,BUR,BOI,Bob Hope Airport,Boise Air Terminal/Gowen Field,True,True
240,215,93,BUR,BOS,Bob Hope Airport,General Edward Lawrence Logan International Airport,True,True
240,224,6,BUR,BRO,Bob Hope Airport,Brownsville South Padre Island International Airport,True,True
240,239,501,BUR,BUF,Bob Hope Airport,Buffalo Niagara International Airport,True,True
240,246,2830,BUR,BWI,Bob Hope Airport,Baltimore/Washington International Thurgood Marshall Airport,True,True
240,251,43,BUR,BZN,Bob Hope Airport,Gallatin Field,True,True
240,311,358,BUR,CLE,Bob Hope Airport,Cleveland Hopkins International Airport,True,True
240,321,753,BUR,CMH,Bob Hope Airport,John Glenn Columbus International Airport,True,True
240,334,5,BUR,COS,Bob Hope Airport,City of Colorado Springs Municipal Airport,True,True
240,343,33,BUR,CRP,Bob Hope Airport,Corpus Christi International Airport,True,True
240,353,56,BUR,CUN,Bob Hope Airport,Cancún International Airport,True,False
240,375,8,BUR,DAB,Bob Hope Airport,Daytona Beach International Airport,True,True
240,379,853,BUR,DAL,Bob Hope Airport,Dallas Love Field,True,True
240,383,629,BUR,DCA,Bob Hope Airport,Ronald Reagan Washington National Airport,True,True
240,389,41414,BUR,DEN,Bob Hope Airport,Denver International Airport,True,True
240,391,154283,BUR,DFW,Bob Hope Airport,Dallas Fort Worth International Airport,True,True
240,435,267,BUR,DTW,Bob Hope Airport,Detroit Metropolitan Wayne County Airport,True,True
240,442,2,BUR,DWA,Bob Hope Airport,Dwangwa Airport,True,False
240,462,2,BUR,EGE,Bob Hope Airport,Eagle County Regional Airport,True,True
240,478,1050,BUR,ELP,Bob Hope Airport,El Paso International Airport,True,True
240,494,179,BUR,EUG,Bob Hope Airport,Mahlon Sweet Field,True,True
240,500,924,BUR,EWR,Bob Hope Airport,Newark Liberty International Airport,True,True
240,506,23,BUR,FAR,Bob Hope Airport,Hector International Airport,True,True
240,510,14,BUR,FCA,Bob Hope Airport,Glacier Park International Airport,True,True
240,526,390,BUR,FLL,Bob Hope Airport,Fort Lauderdale Hollywood International Airport,True,True
240,545,2,BUR,FRG,Bob Hope Airport,Republic Airport,True,True
240,546,9,BUR,FRS,Bob Hope Airport,Mundo Maya International Airport,True,False
240,551,3,BUR,FTW,Bob Hope Airport,Fort Worth Meacham International Airport,True,True
240,555,2,BUR,FVG,Bob Hope Airport,Unkown,True,Unknown
240,577,1,BUR,GCN,Bob Hope Airport,Grand Canyon National Park Airport,True,True
240,585,5205,BUR,GEG,Bob Hope Airport,Spokane International Airport,True,True
240,595,1,BUR,GJT,Bob Hope Airport,Grand Junction Regional Airport,True,True
240,610,1,BUR,GRB,Bob Hope Airport,Austin Straubel International Airport,True,True
240,618,1,BUR,GSO,Bob Hope Airport,Piedmont Triad International Airport,True,True
240,622,58,BUR,GTF,Bob Hope Airport,Great Falls International Airport,True,True
240,634,3,BUR,GYR,Bob Hope Airport,Phoenix Goodyear Airport,True,True
240,635,2,BUR,GYY,Bob Hope Airport,Gary Chicago International Airport,True,True
240,648,9,BUR,HDN,Bob Hope Airport,Yampa Valley Airport,True,True
240,662,1,BUR,HIO,Bob Hope Airport,Portland Hillsboro Airport,True,True
240,674,20,BUR,HNL,Bob Hope Airport,Daniel K Inouye International Airport,True,True
240,683,2756,BUR,HOU,Bob Hope Airport,William P Hobby Airport,True,True
240,685,45,BUR,HPN,Bob Hope Airport,Westchester County Airport,True,True
240,686,14,BUR,HRL,Bob Hope Airport,Valley International Airport,True,True
240,688,5,BUR,HSH,Bob Hope Airport,Henderson Executive Airport,True,True
240,709,64,BUR,IAD,Bob Hope Airport,Washington Dulles International Airport,True,True
240,711,14,BUR,IAH,Bob Hope Airport,George Bush Intercontinental Houston Airport,True,True
240,716,84,BUR,ICT,Bob Hope Airport,Wichita Eisenhower National Airport,True,True
240,718,32,BUR,IDA,Bob Hope Airport,Idaho Falls Regional Airport,True,True
240,719,1022,BUR,IFP,Bob Hope Airport,Unkown,True,Unknown
240,731,637,BUR,IND,Bob Hope Airport,Indianapolis International Airport,True,True
240,749,173,BUR,ISP,Bob Hope Airport,Long Island Mac Arthur Airport,True,True
240,758,6,BUR,JAC,Bob Hope Airport,Jackson Hole Airport,True,True
240,760,11,BUR,JAX,Bob Hope Airport,Jacksonville International Airport,True,True
240,766,116328,BUR,JFK,Bob Hope Airport,John F Kennedy International Airport,True,True
240,812,10,BUR,KIN,Bob Hope Airport,Norman Manley International Airport,True,False
240,828,19,BUR,KOA,Bob Hope Airport,Ellison Onizuka Kona International At Keahole Airport,True,True
240,845,10,BUR,KSP,Bob Hope Airport,Unkown,True,Unknown
240,874,2,BUR,LAR,Bob Hope Airport,Laramie Regional Airport,True,True
240,875,376301,BUR,LAS,Bob Hope Airport,McCarran International Airport,True,True
240,879,97,BUR,LBB,Bob Hope Airport,Lubbock Preston Smith International Airport,True,True
240,882,1,BUR,LBG,Bob Hope Airport,Paris-Le Bourget Airport,True,False
240,902,44,BUR,LGA,Bob Hope Airport,La Guardia Airport,True,True
240,903,67,BUR,LGB,Bob Hope Airport,Long Beach /Daugherty Field/ Airport,True,True
240,911,30,BUR,LIH,Bob Hope Airport,Lihue Airport,True,True
240,918,35,BUR,LIT,Bob Hope Airport,Bill & Hillary Clinton National Airport/Adams Field,True,True
240,944,6,BUR,LTN,Bob Hope Airport,London Luton Airport,True,False
240,947,2,BUR,LUK,Bob Hope Airport,Cincinnati Municipal Airport Lunken Field,True,True
240,964,117,BUR,MAF,Bob Hope Airport,Midland International Airport,True,True
240,978,792,BUR,MCI,Bob Hope Airport,Kansas City International Airport,True,True
240,982,1156,BUR,MCO,Bob Hope Airport,Orlando International Airport,True,True
240,989,9267,BUR,MDW,Bob Hope Airport,Chicago Midway International Airport,True,True
240,994,193,BUR,MEM,Bob Hope Airport,Memphis International Airport,True,True
240,1011,558,BUR,MHT,Bob Hope Airport,Manchester-Boston Regional Airport,True,True
240,1016,58,BUR,MIA,Bob Hope Airport,Miami International Airport,True,True
240,1021,5,BUR,MKC,Bob Hope Airport,Charles B. Wheeler Downtown Airport,True,True
240,1022,143,BUR,MKE,Bob Hope Airport,General Mitchell International Airport,True,True
240,1037,9,BUR,MMU,Bob Hope Airport,Morristown Municipal Airport,True,True
240,1061,149,BUR,MRY,Bob Hope Airport,Monterey Peninsula Airport,True,True
240,1063,1,BUR,MSC,Bob Hope Airport,Falcon Field,True,True
240,1067,2,BUR,MSO,Bob Hope Airport,Missoula International Airport,True,True
240,1068,178,BUR,MSP,Bob Hope Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,True,True
240,1072,537,BUR,MSY,Bob Hope Airport,Louis Armstrong New Orleans International Airport,True,True
240,1075,16,BUR,MTJ,Bob Hope Airport,Montrose Regional Airport,True,True
240,1162,400802,BUR,OAK,Bob Hope Airport,Metropolitan Oakland International Airport,True,True
240,1171,38,BUR,OGG,Bob Hope Airport,Kahului Airport,True,True
240,1176,480,BUR,OKC,Bob Hope Airport,Will Rogers World Airport,True,True
240,1185,1959,BUR,OMA,Bob Hope Airport,Eppley Airfield,True,True
240,1189,265,BUR,ONT,Bob Hope Airport,Ontario International Airport,True,True
240,1191,26,BUR,OPF,Bob Hope Airport,Opa-locka Executive Airport,True,True
240,1201,107,BUR,ORF,Bob Hope Airport,Norfolk International Airport,True,True
240,1204,3,BUR,ORL,Bob Hope Airport,Orlando Executive Airport,True,True
240,1214,11,BUR,OTH,Bob Hope Airport,Southwest Oregon Regional Airport,True,True
240,1237,13,BUR,PDK,Bob Hope Airport,DeKalb Peachtree Airport,True,True
240,1240,65922,BUR,PDX,Bob Hope Airport,Portland International Airport,True,True
240,1252,376,BUR,PHL,Bob Hope Airport,Philadelphia International Airport,True,True
240,1255,314711,BUR,PHX,Bob Hope Airport,Phoenix Sky Harbor International Airport,True,True
240,1264,724,BUR,PIT,Bob Hope Airport,Pittsburgh International Airport,True,True
240,1299,16,BUR,PSF,Bob Hope Airport,Unkown,True,Unknown
240,1304,5,BUR,PSP,Bob Hope Airport,Palm Springs International Airport,True,True
240,1308,5,BUR,PTK,Bob Hope Airport,Oakland County International Airport,True,True
240,1318,135,BUR,PUW,Bob Hope Airport,Pullman Moscow Regional Airport,True,True
240,1320,214,BUR,PVD,Bob Hope Airport,Theodore Francis Green State Airport,True,True
240,1324,5,BUR,PVU,Bob Hope Airport,Provo Municipal Airport,True,True
240,1328,1,BUR,PWM,Bob Hope Airport,Portland International Jetport Airport,True,True
240,1343,2,BUR,RBD,Bob Hope Airport,Dallas Executive Airport,True,True
240,1350,4,BUR,RDD,Bob Hope Airport,Redding Municipal Airport,True,True
240,1352,2,BUR,RDM,Bob Hope Airport,Roberts Field,True,True
240,1353,113,BUR,RDU,Bob Hope Airport,Raleigh Durham International Airport,True,True
240,1360,6,BUR,RIL,Bob Hope Airport,Garfield County Regional Airport,True,True
240,1372,9906,BUR,RNO,Bob Hope Airport,Reno Tahoe International Airport,True,True
240,1390,4,BUR,RST,Bob Hope Airport,Rochester International Airport,True,True
240,1399,2,BUR,SAA,Bob Hope Airport,Shively Field,True,True
240,1400,10,BUR,SAC,Bob Hope Airport,Sacramento Executive Airport,True,True
240,1401,60,BUR,SAF,Bob Hope Airport,Santa Fe Municipal Airport,True,True
240,1403,36,BUR,SAN,Bob Hope Airport,San Diego International Airport,True,True
240,1405,796,BUR,SAT,Bob Hope Airport,San Antonio International Airport,True,True
240,1406,2,BUR,SAV,Bob Hope Airport,Savannah Hilton Head International Airport,True,True
240,1411,2,BUR,SBN,Bob Hope Airport,South Bend Regional Airport,True,True
240,1418,9,BUR,SCF,Bob Hope Airport,Scottsdale Airport,True,True
240,1426,536,BUR,SDF,Bob Hope Airport,Louisville International Standiford Field,True,True
240,1428,3,BUR,SDM,Bob Hope Airport,Brown Field Municipal Airport,True,True
240,1430,5,BUR,SDQ,Bob Hope Airport,Las Américas International Airport,True,False
240,1433,132318,BUR,SEA,Bob Hope Airport,Seattle Tacoma International Airport,True,True
240,1437,70868,BUR,SFO,Bob Hope Airport,San Francisco International Airport,True,True
240,1438,48,BUR,SGF,Bob Hope Airport,Springfield Branson National Airport,True,True
240,1456,219953,BUR,SJC,Bob Hope Airport,Norman Y. Mineta San Jose International Airport,True,True
240,1457,28,BUR,SJD,Bob Hope Airport,Los Cabos International Airport,True,False
240,1461,3,BUR,SJT,Bob Hope Airport,San Angelo Regional Mathis Field,True,True
240,1470,52014,BUR,SLC,Bob Hope Airport,Salt Lake City International Airport,True,True
240,1474,1,BUR,SLN,Bob Hope Airport,Salina Municipal Airport,True,True
240,1480,231441,BUR,SMF,Bob Hope Airport,Sacramento International Airport,True,True
240,1482,2,BUR,SMO,Bob Hope Airport,Santa Monica Municipal Airport,True,True
240,1486,1,BUR,SNF,Bob Hope Airport,Sub Teniente Nestor Arias Airport,True,False
240,1501,4,BUR,SPW,Bob Hope Airport,Spencer Municipal Airport,True,True
240,1517,1614,BUR,STL,Bob Hope Airport,St Louis Lambert International Airport,True,True
240,1519,1,BUR,STP,Bob Hope Airport,St Paul Downtown Holman Field,True,True
240,1521,4,BUR,STS,Bob Hope Airport,Charles M. Schulz Sonoma County Airport,True,True
240,1522,10,BUR,STT,Bob Hope Airport,Cyril E. King Airport,True,False
240,1524,88,BUR,SUN,Bob Hope Airport,Friedman Memorial Airport,True,True
240,1542,14,BUR,SXF,Bob Hope Airport,Berlin-Schönefeld Airport,True,False
240,1549,2,BUR,SYR,Bob Hope Airport,Syracuse Hancock International Airport,True,True
240,1552,2,BUR,SZT,Bob Hope Airport,San Cristobal de las Casas Airport,True,False
240,1573,191,BUR,TEB,Bob Hope Airport,Teterboro Airport,True,True
240,1574,2,BUR,TEK,Bob Hope Airport,Unkown,True,Unknown
240,1576,8,BUR,TEX,Bob Hope Airport,Telluride Regional Airport,True,True
240,1594,3,BUR,TLC,Bob Hope Airport,Licenciado Adolfo Lopez Mateos International Airport,True,False
240,1613,230,BUR,TPA,Bob Hope Airport,Tampa International Airport,True,True
240,1618,6,BUR,TRM,Bob Hope Airport,Jacqueline Cochran Regional Airport,True,True
240,1628,259,BUR,TUL,Bob Hope Airport,Tulsa International Airport,True,True
240,1630,1176,BUR,TUS,Bob Hope Airport,Tucson International Airport,True,True
240,1636,33,BUR,TWF,Bob Hope Airport,Joslin Field Magic Valley Regional Airport,True,True
240,1645,2,BUR,TYS,Bob Hope Airport,McGhee Tyson Airport,True,True
240,1654,1,BUR,UGN,Bob Hope Airport,Waukegan National Airport,True,True
240,1679,10,BUR,VCE,Bob Hope Airport,Venice Marco Polo Airport,True,False
240,1688,26,BUR,VGT,Bob Hope Airport,North Las Vegas Airport,True,True
240,1691,3,BUR,VIS,Bob Hope Airport,Visalia Municipal Airport,True,True
240,1710,19,BUR,VWN,Bob Hope Airport,Unkown,True,Unknown
240,1788,3,BUR,YKM,Bob Hope Airport,Yakima Air Terminal McAllister Field,True,True
240,1820,2,BUR,YUL,Bob Hope Airport,Montreal / Pierre Elliott Trudeau International Airport,True,False
240,1822,7,BUR,YVR,Bob Hope Airport,Vancouver International Airport,True,False
240,1823,1,BUR,YWG,Bob Hope Airport,Winnipeg / James Armstrong Richardson International Airport,True,False
240,1831,1,BUR,YYC,Bob Hope Airport,Calgary International Airport,True,False
240,1834,8,BUR,YYJ,Bob Hope Airport,Victoria International Airport,True,False
240,1835,11,BUR,YYR,Bob Hope Airport,Goose Bay Airport,True,False
240,1837,11,BUR,YYZ,Bob Hope Airport,Lester B. Pearson International Airport,True,False
240,1858,2,BUR,ZXU,Bob Hope Airport,Unkown,True,Unknown
241,1573,4,BVO,TEB,Unkown,Teterboro Airport,Unknown,True
242,88,89,BVU,ANC,Unkown,Ted Stevens Anchorage International Airport,Unknown,True
242,1057,2054,BVU,MRI,Unkown,Merrill Field,Unknown,True
242,1643,1,BVU,TYE,Unkown,Unkown,Unknown,Unknown
243,284,2,BVY,CGF,Beverly Municipal Airport,Cuyahoga County Airport,True,True
243,685,1,BVY,HPN,Beverly Municipal Airport,Westchester County Airport,True,True
243,709,1,BVY,IAD,Beverly Municipal Airport,Washington Dulles International Airport,True,True
243,752,2,BVY,ITH,Beverly Municipal Airport,Ithaca Tompkins Regional Airport,True,True
245,379,125,BWG,DAL,Bowling Green Warren County Regional Airport,Dallas Love Field,True,True
245,526,140,BWG,FLL,Bowling Green Warren County Regional Airport,Fort Lauderdale Hollywood International Airport,True,True
245,623,35,BWG,GTR,Bowling Green Warren County Regional Airport,Golden Triangle Regional Airport,True,True
245,1033,103,BWG,MLU,Bowling Green Warren County Regional Airport,Monroe Regional Airport,True,True
246,32,63068,BWI,ABQ,Baltimore/Washington International Thurgood Marshall Airport,Albuquerque International Sunport,True,True
246,36,170,BWI,ACA,Baltimore/Washington International Thurgood Marshall Airport,General Juan N Alvarez International Airport,True,False
246,41,107,BWI,ACY,Baltimore/Washington International Thurgood Marshall Airport,Atlantic City International Airport,True,True
246,75,192780,BWI,ALB,Baltimore/Washington International Thurgood Marshall Airport,Albany International Airport,True,True
246,82,278,BWI,AMA,Baltimore/Washington International Thurgood Marshall Airport,Rick Husband Amarillo International Airport,True,True
246,88,78,BWI,ANC,Baltimore/Washington International Thurgood Marshall Airport,Ted Stevens Anchorage International Airport,True,True
246,89,57,BWI,AND,Baltimore/Washington International Thurgood Marshall Airport,Anderson Regional Airport,True,True
246,114,669341,BWI,ATL,Baltimore/Washington International Thurgood Marshall Airport,Hartsfield Jackson Atlanta International Airport,True,True
246,119,50,BWI,AUA,Baltimore/Washington International Thurgood Marshall Airport,Queen Beatrix International Airport,True,False
246,123,80624,BWI,AUS,Baltimore/Washington International Thurgood Marshall Airport,Austin Bergstrom International Airport,True,True
246,134,3,BWI,AZO,Baltimore/Washington International Thurgood Marshall Airport,Kalamazoo Battle Creek International Airport,True,True
246,144,1694,BWI,BDA,Baltimore/Washington International Thurgood Marshall Airport,L.F. Wade International International Airport,True,False
246,145,247447,BWI,BDL,Baltimore/Washington International Thurgood Marshall Airport,Bradley International Airport,True,True
246,149,97,BWI,BED,Baltimore/Washington International Thurgood Marshall Airport,Laurence G Hanscom Field,True,True
246,164,72,BWI,BGR,Baltimore/Washington International Thurgood Marshall Airport,Bangor International Airport,True,True
246,169,84102,BWI,BHM,Baltimore/Washington International Thurgood Marshall Airport,Birmingham-Shuttlesworth International Airport,True,True
246,179,57,BWI,BIS,Baltimore/Washington International Thurgood Marshall Airport,Bismarck Municipal Airport,True,True
246,189,112,BWI,BKL,Baltimore/Washington International Thurgood Marshall Airport,Burke Lakefront Airport,True,True
246,206,198294,BWI,BNA,Baltimore/Washington International Thurgood Marshall Airport,Nashville International Airport,True,True
246,211,730,BWI,BOI,Baltimore/Washington International Thurgood Marshall Airport,Boise Air Terminal/Gowen Field,True,True
246,215,587860,BWI,BOS,Baltimore/Washington International Thurgood Marshall Airport,General Edward Lawrence Logan International Airport,True,True
246,237,17,BWI,BTV,Baltimore/Washington International Thurgood Marshall Airport,Burlington International Airport,True,True
246,239,206310,BWI,BUF,Baltimore/Washington International Thurgood Marshall Airport,Buffalo Niagara International Airport,True,True
246,240,1432,BWI,BUR,Baltimore/Washington International Thurgood Marshall Airport,Bob Hope Airport,True,True
246,258,180,BWI,CAK,Baltimore/Washington International Thurgood Marshall Airport,Akron Canton Regional Airport,True,True
246,262,166,BWI,CCS,Baltimore/Washington International Thurgood Marshall Airport,Simón Bolívar International Airport,True,False
246,296,461,BWI,CHS,Baltimore/Washington International Thurgood Marshall Airport,Charleston Air Force Base-International Airport,True,True
246,311,177245,BWI,CLE,Baltimore/Washington International Thurgood Marshall Airport,Cleveland Hopkins International Airport,True,True
246,317,445284,BWI,CLT,Baltimore/Washington International Thurgood Marshall Airport,Charlotte Douglas International Airport,True,True
246,321,146625,BWI,CMH,Baltimore/Washington International Thurgood Marshall Airport,John Glenn Columbus International Airport,True,True
246,334,413,BWI,COS,Baltimore/Washington International Thurgood Marshall Airport,City of Colorado Springs Municipal Airport,True,True
246,343,533,BWI,CRP,Baltimore/Washington International Thurgood Marshall Airport,Corpus Christi International Airport,True,True
246,345,673,BWI,CSG,Baltimore/Washington International Thurgood Marshall Airport,Columbus Metropolitan Airport,True,True
246,353,45539,BWI,CUN,Baltimore/Washington International Thurgood Marshall Airport,Cancún International Airport,True,False
246,356,46002,BWI,CVG,Baltimore/Washington International Thurgood Marshall Airport,Cincinnati Northern Kentucky International Airport,True,True
246,375,118,BWI,DAB,Baltimore/Washington International Thurgood Marshall Airport,Daytona Beach International Airport,True,True
246,379,33544,BWI,DAL,Baltimore/Washington International Thurgood Marshall Airport,Dallas Love Field,True,True
246,381,88509,BWI,DAY,Baltimore/Washington International Thurgood Marshall Airport,James M Cox Dayton International Airport,True,True
246,383,193,BWI,DCA,Baltimore/Washington International Thurgood Marshall Airport,Ronald Reagan Washington National Airport,True,True
246,389,307512,BWI,DEN,Baltimore/Washington International Thurgood Marshall Airport,Denver International Airport,True,True
246,391,271090,BWI,DFW,Baltimore/Washington International Thurgood Marshall Airport,Dallas Fort Worth International Airport,True,True
246,396,289,BWI,DHN,Baltimore/Washington International Thurgood Marshall Airport,Dothan Regional Airport,True,True
246,403,1,BWI,DLH,Baltimore/Washington International Thurgood Marshall Airport,Duluth International Airport,True,True
246,432,193,BWI,DSM,Baltimore/Washington International Thurgood Marshall Airport,Des Moines International Airport,True,True
246,435,334625,BWI,DTW,Baltimore/Washington International Thurgood Marshall Airport,Detroit Metropolitan Wayne County Airport,True,True
246,452,32929,BWI,ECP,Baltimore/Washington International Thurgood Marshall Airport,Northwest Florida Beaches International Airport,True,True
246,460,149,BWI,EFD,Baltimore/Washington International Thurgood Marshall Airport,Ellington Airport,True,True
246,478,5650,BWI,ELP,Baltimore/Washington International Thurgood Marshall Airport,El Paso International Airport,True,True
246,500,49227,BWI,EWR,Baltimore/Washington International Thurgood Marshall Airport,Newark Liberty International Airport,True,True
246,506,110,BWI,FAR,Baltimore/Washington International Thurgood Marshall Airport,Hector International Airport,True,True
246,507,130,BWI,FAT,Baltimore/Washington International Thurgood Marshall Airport,Fresno Yosemite International Airport,True,True
246,526,299174,BWI,FLL,Baltimore/Washington International Thurgood Marshall Airport,Fort Lauderdale Hollywood International Airport,True,True
246,539,10,BWI,FPO,Baltimore/Washington International Thurgood Marshall Airport,Grand Bahama International Airport,True,False
246,561,41,BWI,FWH,Baltimore/Washington International Thurgood Marshall Airport,NAS Fort Worth JRB/Carswell Field,True,True
246,576,324,BWI,GCM,Baltimore/Washington International Thurgood Marshall Airport,Owen Roberts International Airport,True,False
246,585,455,BWI,GEG,Baltimore/Washington International Thurgood Marshall Airport,Spokane International Airport,True,True
246,591,370,BWI,GGT,Baltimore/Washington International Thurgood Marshall Airport,Exuma International Airport,True,False
246,595,362,BWI,GJT,Baltimore/Washington International Thurgood Marshall Airport,Grand Junction Regional Airport,True,True
246,609,264,BWI,GPT,Baltimore/Washington International Thurgood Marshall Airport,Gulfport Biloxi International Airport,True,True
246,610,139,BWI,GRB,Baltimore/Washington International Thurgood Marshall Airport,Austin Straubel International Airport,True,True
246,613,43749,BWI,GRR,Baltimore/Washington International Thurgood Marshall Airport,Gerald R. Ford International Airport,True,True
246,618,302,BWI,GSO,Baltimore/Washington International Thurgood Marshall Airport,Piedmont Triad International Airport,True,True
246,619,240,BWI,GSP,Baltimore/Washington International Thurgood Marshall Airport,Greenville Spartanburg International Airport,True,True
246,625,100,BWI,GUA,Baltimore/Washington International Thurgood Marshall Airport,La Aurora Airport,True,False
246,642,150,BWI,HAV,Baltimore/Washington International Thurgood Marshall Airport,José Martí International Airport,True,False
246,653,3071,BWI,HGR,Baltimore/Washington International Thurgood Marshall Airport,Hagerstown Regional Richard A Henson Field,True,True
246,674,450,BWI,HNL,Baltimore/Washington International Thurgood Marshall Airport,Daniel K Inouye International Airport,True,True
246,683,126298,BWI,HOU,Baltimore/Washington International Thurgood Marshall Airport,William P Hobby Airport,True,True
246,686,582,BWI,HRL,Baltimore/Washington International Thurgood Marshall Airport,Valley International Airport,True,True
246,691,26274,BWI,HSV,Baltimore/Washington International Thurgood Marshall Airport,Huntsville International Carl T Jones Field,True,True
246,693,48,BWI,HTS,Baltimore/Washington International Thurgood Marshall Airport,Tri-State/Milton J. Ferguson Field,True,True
246,694,25,BWI,HUF,Baltimore/Washington International Thurgood Marshall Airport,"Terre Haute Regional Airport, Hulman Field",True,True
246,709,307,BWI,IAD,Baltimore/Washington International Thurgood Marshall Airport,Washington Dulles International Airport,True,True
246,711,188929,BWI,IAH,Baltimore/Washington International Thurgood Marshall Airport,George Bush Intercontinental Houston Airport,True,True
246,716,303,BWI,ICT,Baltimore/Washington International Thurgood Marshall Airport,Wichita Eisenhower National Airport,True,True
246,719,97,BWI,IFP,Baltimore/Washington International Thurgood Marshall Airport,Unkown,True,Unknown
246,727,46,BWI,ILM,Baltimore/Washington International Thurgood Marshall Airport,Wilmington International Airport,True,True
246,731,143597,BWI,IND,Baltimore/Washington International Thurgood Marshall Airport,Indianapolis International Airport,True,True
246,735,141,BWI,INT,Baltimore/Washington International Thurgood Marshall Airport,Smith Reynolds Airport,True,True
246,749,163767,BWI,ISP,Baltimore/Washington International Thurgood Marshall Airport,Long Island Mac Arthur Airport,True,True
